Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
образование,4104,434,10,0,Ханты-Мансийский автономный округ - Югра,05.02.2025,06.02.2025 00:40
металлургия,2852,857,28,1,Ставропольский край,30.09.2023,30.09.2023 23:36
медицина,3273,600,65,1,Ханты-Мансийский автономный округ - Югра,08.08.2024,08.08.2024 12:12
розничная торговля,7112,1866,136,0,Архангельская область,19.02.2023,19.02.2023 23:42
химия,3335,268,208,0,Калининградская область,06.01.2025,06.01.2025 15:36
медицина,1180,897,48,1,Курская область,29.02.2024,29.02.2024 21:52
логистика,8206,921,92,0,Ленинградская область,17.06.2025,17.06.2025 16:40
маркетинг,1162,1365,21,0,Алтайский край,02.09.2024,02.09.2024 10:07
логистика,3778,305,154,1,Москва,03.04.2024,03.04.2024 12:59
автобизнес,6397,1640,92,0,Смоленская область,12.08.2024,12.08.2024 05:34
фармацевтика,3956,1947,133,1,Республика Ингушетия,27.04.2023,27.04.2023 20:44
химия,9549,1164,68,0,Республика Адыгея,23.11.2024,23.11.2024 16:16
ресторанный бизнес,5482,1766,16,0,Липецкая область,06.11.2024,07.11.2024 00:58
машиностроение,3861,1210,19,0,Волгоградская область,25.05.2023,25.05.2023 16:38
образование,1321,1329,123,0,Нижегородская область,27.03.2023,27.03.2023 06:02
логистика,8317,661,167,1,Ямало-Ненецкий автономный округ,05.09.2025,05.09.2025 14:50
отели,0352,313,7,0,Республика Хакасия,15.02.2025,16.02.2025 04:43
металлургия,9053,1187,14,1,Ставропольский край,14.09.2023,14.09.2023 16:44
реклама,9004,482,30,1,Тверская область,23.01.2025,23.01.2025 14:12
телекоммуникации,7153,318,61,0,Архангельская область,21.01.2023,21.01.2023 10:26
медицина,9307,293,206,0,Республика Марий,27.04.2023,27.04.2023 05:03
энергетика,7186,569,73,0,Пензенская область,17.12.2024,17.12.2024 22:41
отели,4791,465,156,1,Оренбургская область,08.09.2023,09.09.2023 02:04
добыча,4100,1313,53,1,Астраханская область,27.03.2024,27.03.2024 17:45
информационные технологии,6012,1797,142,1,Севастополь,15.05.2024,15.05.2024 19:57
автобизнес,5225,1629,139,0,Республика Коми,10.12.2024,10.12.2024 16:45
образование,7967,772,21,0,Ивановская область,02.12.2025,02.12.2025 10:19
медицина,3454,451,96,0,Республика Адыгея,26.04.2024,27.04.2024 01:28
НКО,7435,433,6,1,Республика Адыгея,07.07.2024,07.07.2024 11:37
маркетинг,4922,1894,22,0,Кировская область,25.02.2025,25.02.2025 18:01
маркетинг,6303,1109,12,0,Липецкая область,15.02.2025,15.02.2025 08:42
реклама,8725,307,170,1,Республика Адыгея,13.12.2024,13.12.2024 03:58
образование,5509,1896,68,0,Московская область,29.11.2024,30.11.2024 02:53
образование,7112,1973,110,0,Псковская область,05.03.2025,06.03.2025 02:59
информационные технологии,8762,1149,109,1,Смоленская область,19.02.2025,19.02.2025 17:47
отели,2161,231,72,1,Ненецкий автономный округ,26.05.2024,26.05.2024 20:18
телекоммуникации,9357,1008,10,1,Республика Калмыкия,04.07.2024,05.07.2024 00:16
НКО,9962,225,32,1,Забайкальский край,19.10.2024,19.10.2024 17:54
розничная торговля,7272,1147,5,1,Санкт-Петербург,13.08.2025,13.08.2025 04:22
логистика,9120,646,105,0,Республика Саха (Якутия),12.06.2023,12.06.2023 17:57
образование,9035,843,17,1,Орловская область,12.06.2024,12.06.2024 11:16
логистика,2085,665,162,0,Владимирская область,12.04.2023,12.04.2023 10:07
НКО,0631,577,176,1,Республика Саха (Якутия),11.10.2024,11.10.2024 10:35
отели,0997,1663,67,1,Москва,24.12.2024,24.12.2024 20:45
машиностроение,9840,680,90,0,Мурманская область,04.11.2025,04.11.2025 17:07
безопасность,1269,685,53,1,Амурская область,30.01.2025,31.01.2025 06:26
добыча,6988,1993,73,0,Московская область,30.10.2024,30.10.2024 22:50
системная интеграция,5489,1035,167,1,Курганская область,25.08.2024,26.08.2024 00:01
розничная торговля,6035,291,75,0,Еврейская автономная область,22.02.2023,22.02.2023 13:38
ресторанный бизнес,5130,1246,184,1,Тамбовская область,14.02.2025,14.02.2025 21:02
энергетика,6244,1761,167,0,Мурманская область,04.04.2024,04.04.2024 21:32
фармацевтика,8983,1703,108,0,Республика Алтай,16.04.2023,17.04.2023 02:30
безопасность,8526,1103,82,1,Курская область,23.08.2024,23.08.2024 10:21
отели,5931,672,117,1,Новгородская область,08.05.2024,08.05.2024 17:46
реклама,5930,363,91,0,Республика Калмыкия,18.09.2025,18.09.2025 22:14
консалтинг,6863,670,146,0,Республика Хакасия,16.05.2024,16.05.2024 20:43
фармацевтика,2264,1440,67,1,Саратовская область,04.10.2024,04.10.2024 06:05
реклама,6899,1234,38,1,Камчатский край,10.02.2024,10.02.2024 17:56
консалтинг,0255,541,31,1,Республика Мордовия,20.08.2025,21.08.2025 02:06
энергетика,0559,1907,111,0,Брянская область,30.05.2023,30.05.2023 07:32
безопасность,6359,1064,91,0,Республика Ингушетия,09.05.2024,10.05.2024 01:18
химия,5519,1889,87,0,Республика Карелия,01.06.2023,02.06.2023 02:58
системная интеграция,7355,1037,162,1,Ямало-Ненецкий автономный округ,15.08.2024,15.08.2024 20:44
энергетика,3006,1682,197,0,Костромская область,16.01.2023,16.01.2023 21:37
системная интеграция,7431,976,83,1,Калужская область,07.11.2025,08.11.2025 02:37
автобизнес,1588,675,77,1,Саратовская область,09.04.2023,09.04.2023 21:33
безопасность,9500,1240,217,1,Республика Татарстан,23.10.2024,23.10.2024 15:20
розничная торговля,2347,285,209,0,Ямало-Ненецкий автономный округ,29.11.2025,29.11.2025 13:36
образование,5151,403,89,1,Брянская область,31.08.2023,31.08.2023 12:17
логистика,7192,658,227,0,Республика Татарстан,15.06.2024,15.06.2024 22:48
химия,3796,1564,72,0,Вологодская область,28.02.2024,28.02.2024 20:53
безопасность,2767,256,154,0,Красноярский край,04.02.2024,04.02.2024 07:31
металлургия,6055,616,73,1,Ханты-Мансийский автономный округ - Югра,02.12.2025,02.12.2025 09:53
консалтинг,4833,424,184,0,Ханты-Мансийский автономный округ - Югра,04.06.2025,04.06.2025 20:16
добыча,2242,770,188,0,Астраханская область,11.06.2023,12.06.2023 02:50
отели,1219,869,41,1,Кировская область,17.07.2025,17.07.2025 23:47
безопасность,1214,1647,177,1,Республика Адыгея,06.06.2025,06.06.2025 06:59
безопасность,5203,589,216,0,Чукотский автономный округ,17.01.2023,17.01.2023 19:08
фармацевтика,6164,1986,57,0,Республика Мордовия,20.08.2025,20.08.2025 07:31
розничная торговля,8139,778,34,0,Чукотский автономный округ,01.07.2023,02.07.2023 04:54
ресторанный бизнес,0053,1089,18,1,Республика Бурятия,03.03.2024,04.03.2024 06:11
машиностроение,6852,1608,68,1,Камчатский край,25.04.2024,26.04.2024 08:22
логистика,8692,1545,47,1,Рязанская область,21.08.2024,22.08.2024 00:31
логистика,6426,1424,92,1,Удмуртская Республика,17.07.2023,17.07.2023 10:07
информационные технологии,6875,1115,84,0,Донецкая Народная Республика,20.05.2025,20.05.2025 06:11
консалтинг,5225,1552,30,1,Республика Северная Осетия-Алания,20.09.2023,20.09.2023 18:53
логистика,9848,1043,176,0,Московская область,18.08.2024,18.08.2024 11:32
ресторанный бизнес,6702,324,144,1,Республика Мордовия,12.10.2024,12.10.2024 16:25
консалтинг,6967,1016,67,0,Нижегородская область,21.09.2025,22.09.2025 02:14
телекоммуникации,0748,831,115,1,Воронежская область,08.12.2023,08.12.2023 20:13
НКО,1808,1456,157,1,Ярославская область,10.02.2023,11.02.2023 02:01
маркетинг,1479,1798,181,1,Астраханская область,10.05.2023,10.05.2023 23:03
безопасность,3449,941,138,0,Смоленская область,21.03.2025,22.03.2025 01:14
информационные технологии,2645,965,85,1,Тамбовская область,24.05.2024,24.05.2024 03:02
металлургия,8628,409,129,1,Омская область,28.03.2023,28.03.2023 11:18
информационные технологии,0398,671,162,0,Республика Адыгея,11.07.2024,12.07.2024 02:07
маркетинг,6566,468,210,1,Ненецкий автономный округ,06.06.2023,06.06.2023 05:32
реклама,0331,230,191,0,Вологодская область,12.03.2025,12.03.2025 09:53
образование,5115,1807,83,1,Кемеровская область,17.02.2023,17.02.2023 16:17
консалтинг,3321,404,68,1,Ставропольский край,19.08.2024,19.08.2024 16:05
отели,6658,1348,72,1,Республика Татарстан,28.12.2025,28.12.2025 19:15
маркетинг,0283,1217,187,1,Ростовская область,10.08.2023,10.08.2023 17:14
фармацевтика,0408,1013,198,0,Тюменская область,27.01.2025,27.01.2025 20:36
химия,5090,880,37,0,Вологодская область,13.12.2023,13.12.2023 09:55
логистика,9723,711,22,0,Республика Ингушетия,27.08.2025,27.08.2025 19:46
фармацевтика,3809,320,197,1,Чувашская Республика,23.04.2025,23.04.2025 12:47
телекоммуникации,2468,274,83,1,Калининградская область,03.07.2024,04.07.2024 00:13
медицина,8008,1317,128,1,Севастополь,27.04.2024,27.04.2024 13:29
логистика,8429,1336,220,0,Псковская область,21.05.2025,22.05.2025 01:04
маркетинг,2086,1750,4,0,Алтайский край,06.09.2023,06.09.2023 12:12
консалтинг,1863,279,227,1,Томская область,16.12.2023,17.12.2023 03:51
безопасность,7983,486,192,1,Республика Ингушетия,19.01.2023,19.01.2023 12:07
реклама,4821,1674,226,1,Алтайский край,22.10.2024,23.10.2024 02:56
системная интеграция,9238,1531,43,0,Удмуртская Республика,07.12.2025,08.12.2025 00:13
образование,6083,1263,155,1,Курганская область,05.08.2025,05.08.2025 11:59
телекоммуникации,2218,536,135,1,Санкт-Петербург,12.10.2024,12.10.2024 16:11
энергетика,7709,337,2,1,Курская область,13.02.2024,14.02.2024 01:06
медицина,7514,877,25,0,Магаданская область,17.08.2025,18.08.2025 06:10
добыча,5742,1503,144,0,Волгоградская область,29.01.2023,29.01.2023 09:17
информационные технологии,6983,1396,187,1,Ростовская область,05.04.2025,05.04.2025 11:35
медицина,3320,358,152,0,Псковская область,19.03.2024,19.03.2024 11:11
автобизнес,9236,409,33,1,Самарская область,21.07.2024,22.07.2024 02:55
образование,7757,628,44,0,Рязанская область,19.03.2024,19.03.2024 05:59
образование,2401,493,43,1,Калининградская область,24.10.2024,24.10.2024 04:57
машиностроение,2245,1247,207,1,Республика Карачаево-Черкесия,24.08.2025,24.08.2025 13:19
безопасность,1922,693,144,1,Ставропольский край,28.02.2025,01.03.2025 01:30
системная интеграция,5108,1917,134,1,Республика Алтай,10.06.2023,11.06.2023 02:53
ресторанный бизнес,2722,1497,214,1,Владимирская область,14.06.2025,14.06.2025 20:28
логистика,4105,1603,31,1,Севастополь,14.12.2024,14.12.2024 08:01
системная интеграция,7637,1778,172,1,Республика Карачаево-Черкесия,13.03.2024,13.03.2024 22:35
ресторанный бизнес,6267,966,46,0,Белгородская область,24.06.2025,24.06.2025 14:33
ресторанный бизнес,0092,1400,80,1,Вологодская область,25.01.2025,25.01.2025 11:32
металлургия,9942,759,9,1,Республика Крым,07.09.2025,07.09.2025 15:02
автобизнес,4493,1480,15,0,Курганская область,19.07.2025,19.07.2025 20:11
логистика,8939,1853,27,0,Ростовская область,01.03.2023,01.03.2023 22:57
энергетика,2899,1983,218,0,Ненецкий автономный округ,09.05.2025,09.05.2025 06:03
консалтинг,1022,843,25,1,Курская область,04.02.2023,04.02.2023 13:53
телекоммуникации,2773,1401,185,1,Алтайский край,30.01.2023,31.01.2023 04:25
реклама,1008,333,50,0,Нижегородская область,21.06.2023,21.06.2023 08:28
машиностроение,4515,1446,51,1,Калужская область,07.01.2023,07.01.2023 12:17
медицина,5746,441,88,1,Забайкальский край,26.06.2023,27.06.2023 03:59
консалтинг,1445,438,24,0,Архангельская область,16.01.2024,16.01.2024 13:37
НКО,0330,1770,44,0,Тамбовская область,06.02.2025,06.02.2025 17:05
отели,5043,1914,175,0,Ярославская область,27.09.2024,27.09.2024 04:24
информационные технологии,2917,771,36,1,Чеченская республика,07.04.2024,07.04.2024 09:17
ресторанный бизнес,2902,804,67,1,Республика Мордовия,09.07.2023,09.07.2023 18:22
фармацевтика,5958,914,198,1,Камчатский край,16.12.2023,16.12.2023 13:53
фармацевтика,6319,518,138,0,Ямало-Ненецкий автономный округ,11.12.2024,12.12.2024 01:51
информационные технологии,3399,900,180,1,Архангельская область,17.11.2025,17.11.2025 09:16
ресторанный бизнес,7663,734,9,0,Алтайский край,17.01.2024,17.01.2024 22:08
консалтинг,9615,861,96,1,Донецкая Народная Республика,11.03.2023,11.03.2023 13:44
химия,5880,1980,3,0,Республика Дагестан,31.08.2025,31.08.2025 13:21
НКО,1642,583,92,1,Смоленская область,14.08.2025,14.08.2025 20:11
металлургия,7193,1857,158,1,Еврейская автономная область,09.06.2025,10.06.2025 09:25
логистика,3991,717,186,1,Хабаровский край,22.11.2024,23.11.2024 01:43
маркетинг,4919,282,225,0,Новосибирская область,09.08.2023,09.08.2023 20:27
автобизнес,9462,1020,152,0,Смоленская область,14.11.2025,14.11.2025 08:59
информационные технологии,9779,1628,135,0,Забайкальский край,13.10.2023,13.10.2023 13:42
телекоммуникации,0882,385,80,0,Волгоградская область,28.07.2025,28.07.2025 15:10
консалтинг,0014,1548,38,0,Калужская область,09.09.2024,09.09.2024 12:05
розничная торговля,3870,1956,53,1,Архангельская область,16.05.2024,16.05.2024 07:43
медицина,6132,210,123,0,Волгоградская область,24.07.2023,24.07.2023 18:35
маркетинг,3482,1167,172,1,Челябинская область,12.05.2024,12.05.2024 08:24
энергетика,5216,1762,35,1,Ульяновская область,02.08.2024,03.08.2024 00:46
реклама,9781,1006,137,0,Волгоградская область,27.09.2025,28.09.2025 00:47
фармацевтика,0441,654,227,0,Тульская область,25.01.2025,25.01.2025 14:21
безопасность,0027,1450,154,1,Мурманская область,16.04.2024,16.04.2024 07:31
ресторанный бизнес,0725,632,78,1,Архангельская область,26.11.2024,26.11.2024 15:41
розничная торговля,6975,508,73,1,Кабардино-Балкарская Республика,11.09.2025,11.09.2025 04:16
реклама,2942,534,102,0,Челябинская область,19.06.2023,19.06.2023 16:43
химия,6627,1845,207,0,Смоленская область,15.10.2024,15.10.2024 07:36
безопасность,6292,1605,117,0,Омская область,02.04.2025,02.04.2025 19:49
машиностроение,4964,1070,67,0,Приморский край,11.07.2025,12.07.2025 02:23
логистика,5490,1928,137,1,Новгородская область,02.01.2024,02.01.2024 16:34
маркетинг,1311,507,2,1,Еврейская автономная область,12.06.2024,12.06.2024 16:32
образование,7455,1090,13,1,Республика Татарстан,23.03.2023,23.03.2023 06:55
логистика,7541,951,13,1,Чувашская Республика,21.05.2025,21.05.2025 13:43
информационные технологии,0386,1311,69,0,Удмуртская Республика,31.12.2024,31.12.2024 16:01
консалтинг,5319,809,163,0,Хабаровский край,17.08.2023,17.08.2023 21:46
машиностроение,8705,1712,102,0,Калужская область,22.06.2023,22.06.2023 20:06
энергетика,2370,1496,127,1,Кировская область,08.12.2024,08.12.2024 17:44
образование,4000,1890,214,1,Республика Карелия,06.06.2023,06.06.2023 13:23
машиностроение,2405,1447,186,0,Ставропольский край,15.11.2025,16.11.2025 02:05
телекоммуникации,4948,1065,103,0,Орловская область,10.06.2024,11.06.2024 02:41
добыча,7102,438,204,0,Амурская область,18.06.2024,18.06.2024 18:39
безопасность,8834,1949,204,0,Республика Коми,05.02.2025,05.02.2025 21:30
ресторанный бизнес,7159,762,192,0,Кировская область,24.10.2025,25.10.2025 00:02
образование,6532,571,174,1,Нижегородская область,11.01.2023,11.01.2023 16:13
металлургия,6789,1545,34,1,Нижегородская область,05.08.2025,05.08.2025 22:50
НКО,5213,398,57,0,Москва,26.10.2024,26.10.2024 10:04
образование,4716,1691,183,1,Еврейская автономная область,11.05.2025,12.05.2025 06:38
телекоммуникации,8872,996,122,0,Саратовская область,28.11.2024,28.11.2024 13:22
консалтинг,2487,1146,219,1,Липецкая область,26.12.2025,27.12.2025 01:10
маркетинг,4190,1025,9,0,Камчатский край,23.09.2025,24.09.2025 05:22
добыча,3401,1731,136,1,Пермский край,20.08.2024,20.08.2024 15:28
консалтинг,0485,519,160,0,Магаданская область,21.12.2024,22.12.2024 05:27
реклама,0384,1738,73,1,Тульская область,07.02.2025,07.02.2025 20:08
маркетинг,9948,1940,32,0,Республика Северная Осетия-Алания,23.03.2024,23.03.2024 09:07
фармацевтика,4741,565,222,0,Республика Ингушетия,16.04.2025,16.04.2025 14:48
ресторанный бизнес,6852,1427,72,1,Республика Калмыкия,05.08.2023,06.08.2023 00:56
НКО,5207,1228,138,1,Воронежская область,07.04.2025,07.04.2025 18:48
консалтинг,4691,1891,116,0,Калужская область,30.03.2025,30.03.2025 12:00
медицина,5474,1762,119,0,Херсонская область,21.07.2023,21.07.2023 15:37
НКО,6851,1056,106,0,Чукотский автономный округ,01.03.2023,02.03.2023 07:14
энергетика,9990,1469,129,0,Хабаровский край,17.04.2025,17.04.2025 10:20
образование,4096,540,146,1,Херсонская область,06.07.2023,06.07.2023 14:01
образование,6379,1330,131,0,Смоленская область,26.07.2025,26.07.2025 14:46
отели,2871,1167,183,0,Ульяновская область,29.09.2023,29.09.2023 12:04
металлургия,3392,1382,119,1,Республика Марий,27.06.2025,27.06.2025 10:50
розничная торговля,7560,1224,165,0,Приморский край,09.11.2024,09.11.2024 15:15
консалтинг,1145,214,192,0,Херсонская область,12.04.2025,12.04.2025 19:30
маркетинг,1153,1803,107,1,Республика Хакасия,05.09.2023,06.09.2023 05:49
образование,8752,1663,7,1,Оренбургская область,03.05.2023,03.05.2023 14:51
маркетинг,0654,944,103,1,Республика Карачаево-Черкесия,12.09.2023,12.09.2023 06:09
автобизнес,9500,1743,203,0,Брянская область,20.01.2025,20.01.2025 16:42
телекоммуникации,2326,697,204,1,Липецкая область,25.06.2024,25.06.2024 06:21
НКО,1214,1138,182,1,Республика Марий,16.06.2024,16.06.2024 13:18
консалтинг,5418,1812,116,1,Забайкальский край,17.07.2024,18.07.2024 04:02
энергетика,2426,1268,74,0,Воронежская область,29.01.2025,29.01.2025 21:23
информационные технологии,5025,1666,41,1,Курганская область,19.06.2025,20.06.2025 02:18
энергетика,2107,500,156,1,Кабардино-Балкарская Республика,10.06.2024,10.06.2024 23:14
металлургия,3468,1394,78,0,Республика Саха (Якутия),25.01.2023,25.01.2023 17:23
безопасность,8468,1031,123,0,Волгоградская область,16.11.2023,16.11.2023 21:54
безопасность,5150,1271,96,1,Омская область,13.12.2023,13.12.2023 22:30
розничная торговля,7930,977,4,0,Саратовская область,05.04.2024,05.04.2024 12:13
отели,2460,769,156,0,Севастополь,08.02.2024,08.02.2024 14:31
консалтинг,9330,1507,4,0,Белгородская область,14.01.2025,15.01.2025 00:02
маркетинг,1620,874,130,0,Нижегородская область,31.12.2025,01.01.2026 02:34
добыча,0918,1114,146,0,Республика Марий,08.06.2024,09.06.2024 02:11
НКО,4016,667,177,1,Калужская область,24.03.2023,24.03.2023 22:17
медицина,4547,387,191,0,Ленинградская область,29.09.2023,29.09.2023 19:19
машиностроение,3404,666,63,1,Челябинская область,21.07.2023,21.07.2023 22:56
машиностроение,5225,1817,163,0,Белгородская область,06.09.2025,06.09.2025 06:28
добыча,7800,604,26,0,Хабаровский край,24.09.2025,24.09.2025 19:36
металлургия,9531,1080,221,0,Ханты-Мансийский автономный округ - Югра,03.02.2024,03.02.2024 23:51
НКО,7476,201,65,1,Хабаровский край,08.07.2024,09.07.2024 01:40
розничная торговля,5385,1238,124,1,Республика Крым,05.09.2024,05.09.2024 11:55
медицина,4080,898,71,1,Камчатский край,20.06.2025,20.06.2025 15:48
розничная торговля,7989,213,82,1,Томская область,01.12.2023,01.12.2023 12:04
реклама,4992,393,221,1,Саратовская область,10.01.2024,10.01.2024 09:49
химия,3798,636,79,1,Пензенская область,22.12.2025,22.12.2025 18:06
информационные технологии,9987,630,147,0,Ульяновская область,17.11.2023,17.11.2023 09:49
маркетинг,2815,1945,41,0,Ульяновская область,23.11.2025,23.11.2025 18:41
образование,6831,1796,186,1,Рязанская область,22.06.2024,22.06.2024 18:59
информационные технологии,6076,496,79,1,Астраханская область,07.10.2024,07.10.2024 17:19
реклама,9229,1005,196,1,Калининградская область,07.04.2025,07.04.2025 03:26
системная интеграция,2293,1135,197,1,Москва,19.02.2024,19.02.2024 09:42
автобизнес,4830,1905,96,0,Ульяновская область,25.05.2025,25.05.2025 15:20
медицина,9175,1713,52,0,Магаданская область,27.10.2025,28.10.2025 01:54
автобизнес,1751,352,63,0,Ульяновская область,09.09.2025,10.09.2025 02:37
логистика,0754,1799,169,1,Омская область,26.05.2024,26.05.2024 14:38
фармацевтика,6145,321,26,0,Чукотский автономный округ,02.12.2024,02.12.2024 20:34
системная интеграция,7179,782,29,1,Ивановская область,01.06.2023,01.06.2023 13:49
реклама,2487,1989,39,1,Амурская область,14.02.2024,15.02.2024 02:05
консалтинг,4018,871,147,1,Республика Бурятия,23.12.2025,23.12.2025 17:44
металлургия,2302,1781,198,0,Пензенская область,09.01.2025,09.01.2025 17:47
ресторанный бизнес,3017,857,120,0,Свердловская область,11.01.2025,11.01.2025 15:12
автобизнес,4184,1436,192,0,Ивановская область,02.09.2023,02.09.2023 23:26
реклама,6494,1850,125,0,Республика Алтай,04.05.2023,04.05.2023 23:23
металлургия,9269,1095,9,1,Республика Хакасия,04.10.2025,04.10.2025 16:36
телекоммуникации,1100,1704,20,0,Республика Бурятия,19.08.2023,20.08.2023 01:10
безопасность,1438,1375,120,0,Мурманская область,01.06.2025,01.06.2025 11:29
консалтинг,2494,1532,85,0,Орловская область,26.11.2024,26.11.2024 17:33
реклама,0352,1022,148,1,Калининградская область,09.03.2025,09.03.2025 02:00
отели,5282,1074,39,1,Воронежская область,30.10.2024,30.10.2024 20:29
НКО,3283,1776,211,1,Амурская область,09.11.2023,09.11.2023 15:49
энергетика,3378,831,47,0,Московская область,28.12.2025,28.12.2025 22:54
машиностроение,2087,1306,90,0,Ульяновская область,07.10.2024,07.10.2024 10:42
ресторанный бизнес,3305,820,42,1,Нижегородская область,22.04.2024,22.04.2024 09:49
системная интеграция,0448,481,225,1,Тверская область,07.02.2025,07.02.2025 03:28
ресторанный бизнес,6233,300,115,1,Республика Ингушетия,11.02.2024,11.02.2024 09:49
маркетинг,9671,1868,32,0,Калужская область,03.11.2025,03.11.2025 21:46
безопасность,1994,533,194,0,Тверская область,28.09.2025,29.09.2025 02:38
системная интеграция,5192,1050,49,0,Архангельская область,04.11.2025,04.11.2025 14:30
автобизнес,8336,429,117,0,Калининградская область,17.02.2025,17.02.2025 15:25
химия,5812,938,80,0,Ямало-Ненецкий автономный округ,07.09.2024,07.09.2024 12:44
добыча,6385,1993,121,0,Кировская область,24.10.2024,24.10.2024 04:09
отели,2906,1356,3,0,Алтайский край,15.11.2023,15.11.2023 11:44
логистика,0639,325,153,0,Донецкая Народная Республика,23.08.2024,23.08.2024 14:39
реклама,2581,1058,45,0,Алтайский край,07.11.2023,08.11.2023 06:51
розничная торговля,5982,2000,29,0,Московская область,15.10.2025,15.10.2025 09:19
маркетинг,6115,1923,68,1,Московская область,22.02.2023,22.02.2023 13:01
логистика,0561,1705,224,0,Чеченская республика,06.04.2023,06.04.2023 20:24
образование,8605,547,41,0,Санкт-Петербург,15.12.2024,15.12.2024 10:05
реклама,1087,430,122,1,Республика Дагестан,20.06.2025,20.06.2025 07:54
образование,0012,837,122,1,Чувашская Республика,20.09.2023,20.09.2023 13:42
медицина,5990,1456,172,0,Оренбургская область,06.10.2025,07.10.2025 04:53
фармацевтика,3216,457,57,0,Владимирская область,06.04.2024,07.04.2024 00:05
химия,6617,778,158,0,Республика Марий,08.04.2024,08.04.2024 11:11
информационные технологии,5385,1655,119,1,Ярославская область,02.11.2024,02.11.2024 16:23
энергетика,9493,1708,218,0,Кабардино-Балкарская Республика,09.04.2023,09.04.2023 09:11
металлургия,2343,1499,9,0,Смоленская область,23.03.2025,23.03.2025 13:00
фармацевтика,7878,1190,220,1,Курская область,10.04.2025,10.04.2025 17:13
консалтинг,4306,1317,113,0,Кировская область,19.11.2025,19.11.2025 13:21
розничная торговля,4183,898,207,1,Иркутская область,23.07.2025,24.07.2025 05:06
телекоммуникации,8505,738,17,1,Республика Карачаево-Черкесия,22.02.2023,22.02.2023 20:08
химия,3722,1136,213,0,Тверская область,28.08.2024,28.08.2024 07:55
системная интеграция,5031,1126,112,0,Новосибирская область,09.01.2024,09.01.2024 19:52
безопасность,3193,490,216,0,Москва,11.02.2024,12.02.2024 02:47
системная интеграция,8612,1430,200,0,Забайкальский край,22.12.2025,23.12.2025 01:03
медицина,5942,1304,59,0,Ростовская область,22.11.2023,22.11.2023 06:43
розничная торговля,3708,1926,193,0,Красноярский край,18.05.2025,18.05.2025 13:17
машиностроение,6568,807,100,1,Курганская область,16.08.2025,16.08.2025 15:08
информационные технологии,0006,353,65,1,Липецкая область,17.05.2023,17.05.2023 04:48
реклама,2299,494,124,0,Республика Марий,12.03.2025,12.03.2025 08:41
реклама,6407,1411,50,0,Волгоградская область,25.05.2023,25.05.2023 10:17
энергетика,6578,452,186,0,Липецкая область,27.06.2025,27.06.2025 07:43
автобизнес,5366,222,164,0,Алтайский край,29.09.2024,29.09.2024 23:06
НКО,9805,1164,60,1,Пермский край,13.09.2023,13.09.2023 22:47
образование,7445,514,19,1,Нижегородская область,25.03.2023,25.03.2023 15:53
автобизнес,1849,1483,120,1,Республика Саха (Якутия),11.12.2023,12.12.2023 07:44
логистика,4770,660,134,0,Архангельская область,12.01.2025,12.01.2025 10:55
логистика,7086,1063,15,0,Кировская область,18.07.2024,18.07.2024 11:40
безопасность,5388,1059,171,1,Астраханская область,20.06.2023,20.06.2023 03:06
логистика,3978,1399,127,0,Еврейская автономная область,07.06.2025,08.06.2025 07:17
химия,7994,1348,156,1,Приморский край,28.11.2025,29.11.2025 07:24
машиностроение,9858,420,152,0,Амурская область,14.07.2023,14.07.2023 12:48
отели,5910,1388,173,1,Республика Северная Осетия-Алания,23.03.2023,23.03.2023 14:41
консалтинг,7549,1374,222,0,Республика Ингушетия,03.06.2025,04.06.2025 00:58
металлургия,3540,1361,47,0,Камчатский край,04.11.2024,04.11.2024 15:18
реклама,0465,1693,117,1,Астраханская область,05.12.2024,05.12.2024 14:15
автобизнес,7308,1805,13,1,Свердловская область,22.06.2024,22.06.2024 10:13
медицина,8967,1527,83,1,Волгоградская область,19.12.2023,19.12.2023 18:54
добыча,5469,920,158,0,Пензенская область,18.09.2024,18.09.2024 06:58
добыча,6653,840,160,1,Чукотский автономный округ,17.01.2024,18.01.2024 00:12
автобизнес,7954,918,87,1,Республика Калмыкия,23.11.2023,23.11.2023 08:20
металлургия,1827,588,149,1,Новосибирская область,29.08.2024,30.08.2024 00:34
розничная торговля,6521,1466,179,0,Белгородская область,11.07.2023,11.07.2023 05:45
образование,6630,1945,68,0,Саратовская область,27.12.2025,27.12.2025 14:25
энергетика,6312,412,217,1,Сахалинская область,18.06.2023,18.06.2023 21:14
консалтинг,0669,703,141,0,Луганская Народная Республика,14.07.2024,14.07.2024 03:31
отели,3588,702,225,0,Ханты-Мансийский автономный округ - Югра,18.03.2024,18.03.2024 09:00
информационные технологии,3993,242,220,1,Ханты-Мансийский автономный округ - Югра,28.04.2025,28.04.2025 22:35
фармацевтика,3150,1044,48,1,Камчатский край,03.03.2025,04.03.2025 11:16
системная интеграция,4319,1083,95,1,Тульская область,17.10.2024,17.10.2024 20:22
добыча,2204,858,221,0,Республика Хакасия,21.09.2023,21.09.2023 10:58
безопасность,7795,1296,81,0,Приморский край,11.04.2024,12.04.2024 09:22
НКО,9078,1881,58,1,Нижегородская область,19.04.2023,19.04.2023 17:39
консалтинг,8146,1410,112,0,Брянская область,15.02.2023,15.02.2023 20:28
медицина,0943,911,123,0,Ленинградская область,26.12.2024,26.12.2024 05:46
